Basin_Subb,Basin_Su_1,web_name
1-013,LITTLE LAKE VALLEY,littlelake
1-041,LITTLE VALLEY,littlevalley
2-010,LIVERMORE VALLEY,livermore
2-038,LOBOS,lobos
3-006,LOCKWOOD VALLEY,lockwood1
4-017,LOCKWOOD VALLEY,lockwood2
5-031,LONG VALLEY,long1
5-044,LONG VALLEY,long2
6-011,LONG VALLEY,long3
6-104,LONG VALLEY,long4
5-070,LOS BANOS CREEK VALLEY,banos
3-008.01,LOS OSOS VALLEY - LOS OSOS AREA,osos
3-008.02,LOS OSOS VALLEY - WARDEN CREEK,ososwarden
7-051,LOST HORSE VALLEY,losthorse
6-071,LOST LAKE VALLEY,lostlake
6-021,LOWER KINGSTON VALLEY,lowerkingston
1-014,LOWER KLAMATH RIVER VALLEY,lowerklamath
5-030,LOWER LAKE VALLEY,lowerlake
1-038,LOWER LAYTONVILLE VALLEY,lowerlaytonville
6-040,LOWER MOJAVE RIVER VALLEY,lowermojave
1-060,LOWER RUSSIAN RIVER VALLEY,lowerrussian
7-019,LUCERNE VALLEY,lucerne
1-008.02,MAD RIVER VALLEY - DOWS PRAIRIE SCHOOL AREA,mrvdpsa
1-008.01,MAD RIVER VALLEY - MAD RIVER LOWLAND,mrvmrl
6-002,MADELINE PLAINS,madeline
3-051,MAJORS CREEK,majors
4-022,MALIBU VALLEY,malibu
6-064,MARBLE CANYON AREA,marble
2-039,MARINA,marina
6-067,MARTIS VALLEY,martis
7-059,MASON VALLEY,mason
1-028,MATTOLE RIVER VALLEY,mattole
5-035,MCCLOUD AREA,mccloud
1-056,McDOWELL VALLEY,mcdowell
5-095,MEADOW VALLEY,meadow
7-017,MEANS VALLEY,means
6-029,MESQUITE VALLEY,mesquite
6-020,MIDDLE AMARGOSA VALLEY,middleamargosa
5-094,MIDDLE CREEK,middlecreek
5-087,MIDDLE FORK FEATHER RIVER,mffr
6-041,MIDDLE MOJAVE RIVER VALLEY,mmrv
6-080,MIDDLE PARK CANYON,mpc
5-085,MIL POTRERO AREA,milportero
9-014,MISSION VALLEY,mission
5-011,MOHAWK VALLEY,mohawk
6-009,MONO VALLEY,mono
3-049,MONTECITO,montecito
7-020,MORONGO VALLEY,morongo
3-041,MORRO VALLEY,morro
5-008,MOUNTAIN MEADOWS VALLEY,mountain
2-002.01,NAPA-SONOMA VALLEY - NAPA VALLEY,napavalley
2-002.03,NAPA-SONOMA VALLEY - NAPA-SONOMA LOWLANDS,nsl
2-002.02,NAPA-SONOMA VALLEY - SONOMA VALLEY,sonv
1-046,NAVARRO RIVER VALLEY,navarro
3-052,NEEDLE ROCK POINT,nrp
7-044,NEEDLES VALLEY,needles
5-050,NORTH FORK BATTLE CREEK,nfbc
2-030,NOVATO VALLEY,novato
7-025,OCOTILLO-CLARK VALLEY,ocv
7-035,OGILBY VALLEY,ogilby
4-002,OJAI VALLEY,ojai
3-039,OLD VALLEY,old
6-108,OLYMPIC VALLEY,olympic
7-031,OROCOPIA VALLEY,orocopia
6-012.02,OWENS VALLEY - FISH SLOUGH,cvfs
6-012.01,OWENS VALLEY - OWENS VALLEY,owens
6-088,OWL LAKE VALLEY,owl
6-028,PAHRUMP VALLEY,pahrump
6-099,PAINTERS FLAT,painters
7-039,PALO VERDE MESA,paloverdemesa
7-038,PALO VERDE VALLEY,paloverdevalley
9-024,PAMO VALLEY,pamo
6-058,PANAMINT VALLEY,panamint
5-023,PANOCHE VALLEY,panoche
3-032,PEACH TREE VALLEY,peach
1-030,PEPPERWOOD TOWN AREA,pepperwood
2-026,PESCADERO VALLEY,pescadero
2-001,PETALUMA VALLEY,petaluma
6-051,PILOT KNOB VALLEY,pilot
6-092,PINE CREEK VALLEY,pine
7-006,PINTO VALLEY,pinto
7-049,PIPES CANYON FAULT VALLEY,pipes
2-004,PITTSBURG PLAIN,pittsburg
7-045,PIUTE VALLEY,piute
4-006,PLEASANT VALLEY,pv1
7-052,PLEASANT VALLEY,pv2
5-038,PONDOSA TOWN AREA,pondosa
5-068,POPE VALLEY,pope
9-029,POTRERO VALLEY,potrero
1-051,POTTER VALLEY,potter
9-013,POWAY VALLEY,poway
3-044,POZO VALLEY,pozo
1-025,PRAIRIE CREEK AREA,prairie
7-040,QUIEN SABE POINT VALLEY,qspv
3-024,QUIEN SABE VALLEY,qsv
6-062,RACE TRACK VALLEY,race
3-046,RAFAEL VALLEY,rafael
9-025,RANCHITA TOWN AREA,ranchita
4-023,RAYMOND,raymond
6-024,RED PASS VALLEY,redpass
1-018,RED ROCK VALLEY,redrock
5-006.03,REDDING AREA - ANDERSON,anderson
5-006.01,REDDING AREA - BOWMAN,bowman
5-006.04,REDDING AREA - ENTERPRISE,enterprise
5-006.05,REDDING AREA - MILLVILLE,millville
5-006.06,REDDING AREA - SOUTH BATTLE CREEK,sbc
1-026,REDWOOD CREEK AREA,redwood
6-086,RHODES HILL AREA,rhodes
7-004,RICE VALLEY,rice
6-023,RIGGS VALLEY,riggs
3-043,RINCONADA VALLEY,rinconada
5-043,ROCK PRAIRIE VALLEY,rock
6-056,ROSE VALLEY,rose
2-028,ROSS VALLEY,ross
5-036,ROUND VALLEY,round
4-020,RUSSELL VALLEY,russell
5-021.54,SACRAMENTO VALLEY - ANTELOPE,antelope
5-021.53,SACRAMENTO VALLEY - BEND,bend
5-021.70,SACRAMENTO VALLEY - BUTTE,butte
5-021.52,SACRAMENTO VALLEY - COLUSA,colusa
5-021.51,SACRAMENTO VALLEY - CORNING,corning
5-021.56,SACRAMENTO VALLEY - LOS MOLINOS,losmolinos
5-021.64,SACRAMENTO VALLEY - NORTH AMERICAN,northamerican
5-021.60,SACRAMENTO VALLEY - NORTH YUBA,northyuba
5-021.50,SACRAMENTO VALLEY - RED BLUFF,redbluff
5-021.66,SACRAMENTO VALLEY - SOLANO,solano
5-021.65,SACRAMENTO VALLEY - SOUTH AMERICAN,sasb
5-021.61,SACRAMENTO VALLEY - SOUTH YUBA,syuba
5-021.62,SACRAMENTO VALLEY - SUTTER,sutter
5-021.57,SACRAMENTO VALLEY - VINA,vina
5-021.69,SACRAMENTO VALLEY - WYANDOTTE CREEK,wyandotte
5-021.67,SACRAMENTO VALLEY - YOLO,yolo
3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,ofa
3-004.11,SALINAS VALLEY - ATASCADERO AREA,atascadero
3-004.02,SALINAS VALLEY - EAST SIDE AQUIFER,esa
3-004.04,SALINAS VALLEY - FOREBAY AQUIFER,forebay
3-004.09,SALINAS VALLEY - LANGLEY AREA,langley
3-004.10,SALINAS VALLEY - MONTEREY,monterey
3-004.06,SALINAS VALLEY - PASO ROBLES AREA,pasorobles
3-004.08,SALINAS VALLEY - SEASIDE,seaside
3-004.05,SALINAS VALLEY - UPPER VALLEY AQUIFER,uva
6-017,SALINE VALLEY,saline
6-053,SALT WELLS VALLEY,salt
3-014,SAN ANTONIO CREEK VALLEY,sanantonio
3-028,SAN BENITO RIVER VALLEY,sanbenito
3-033,SAN CARPOFORO VALLEY,sancarpoforo
9-015,SAN DIEGO RIVER VALLEY,sdrv
9-012,SAN DIEGUITO CREEK,sandieguito
9-023,SAN ELIJO VALLEY,sanelijo
7-027,SAN FELIPE VALLEY,sanfelipe
4-012,SAN FERNANDO VALLEY,sanfernando
4-013,SAN GABRIEL VALLEY,sangabriel
2-024,SAN GREGORIO VALLEY,sangregorio
8-005,SAN JACINTO,sanjacinto
5-022.05,SAN JOAQUIN VALLEY - CHOWCHILLA,chowchilla
5-022.16,SAN JOAQUIN VALLEY - COSUMNES,cosumnes
5-022.07,SAN JOAQUIN VALLEY - DELTA-MENDOTA,deltamendota
5-022.19,SAN JOAQUIN VALLEY - EAST CONTRA COSTA,ecc
5-022.01,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN,esj
5-022.11,SAN JOAQUIN VALLEY - KAWEAH,kaweah
5-022.14,SAN JOAQUIN VALLEY - KERN COUNTY,kern
5-022.17,SAN JOAQUIN VALLEY - KETTLEMAN PLAIN,kettleman
5-022.08,SAN JOAQUIN VALLEY - KINGS,kings
5-022.06,SAN JOAQUIN VALLEY - MADERA,madera
5-022.04,SAN JOAQUIN VALLEY - MERCED,merced
5-022.02,SAN JOAQUIN VALLEY - MODESTO,modestro
5-022.10,SAN JOAQUIN VALLEY - PLEASANT VALLEY,pleasantvalley
5-022.15,SAN JOAQUIN VALLEY - TRACY,tracy
5-022.12,SAN JOAQUIN VALLEY - TULARE LAKE,tulare
5-022.13,SAN JOAQUIN VALLEY - TULE,tule
5-022.03,SAN JOAQUIN VALLEY - TURLOCK,turlock
5-022.09,SAN JOAQUIN VALLEY - WESTSIDE,wsjv
5-022.18,SAN JOAQUIN VALLEY - WHITE WOLF,whitewolf
9-001,SAN JUAN VALLEY,sanjuan
3-009,SAN LUIS OBISPO VALLEY,slo
9-007.02,SAN LUIS REY VALLEY - LOWER SAN LUIS REY VALLEY,lslr
9-007.01,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY,uslr
9-032,SAN MARCOS AREA,sanmarcos
9-002,SAN MATEO VALLEY,sanmateo
9-003,SAN ONOFRE VALLEY,sanonofre
9-010,SAN PASQUAL VALLEY,sanpasqual
2-036,SAN PEDRO VALLEY,sanpedro
2-029,SAN RAFAEL VALLEY,sanrafael
2-007,SAN RAMON VALLEY,sanramon
3-035,SAN SIMEON VALLEY,sansimeon
2-027,SAND POINT AREA,sandpoint
1-053,SANEL VALLEY,sanelsanel
3-022,SANTA ANA VALLEY,sav
3-017,SANTA BARBARA,santabarbara
4-004.05,SANTA CLARA RIVER VALLEY - FILLMORE,fillmore
4-004.03,SANTA CLARA RIVER VALLEY - MOUND,mount
4-004.02,SANTA CLARA RIVER VALLEY - OXNARD,oxnard
4-004.06,SANTA CLARA RIVER VALLEY - PIRU,piru
4-004.07,SANTA CLARA RIVER VALLEY - SANTA CLARA RIVER VALLEY EAST,scrve
4-004.04,SANTA CLARA RIVER VALLEY - SANTA PAULA,santapaula
2-009.04,SANTA CLARA VALLEY - EAST BAY PLAIN,ebp
2-009.01,SANTA CLARA VALLEY - NILES CONE,niles
2-009.03,SANTA CLARA VALLEY - SAN MATEO PLAIN,smp
2-009.02,SANTA CLARA VALLEY - SANTA CLARA,santaclara
3-001,SANTA CRUZ MID-COUNTY,scmc
3-027,SANTA MARGARITA,sm
9-004,SANTA MARGARITA VALLEY,santamargarita
3-012.02,SANTA MARIA RIVER VALLEY - ARROYO GRANDE,arroyo
3-012.01,SANTA MARIA RIVER VALLEY - SANTA MARIA,santamaria
9-011,SANTA MARIA VALLEY,smv
6-068,SANTA ROSA FLAT,sr
3-036,SANTA ROSA VALLEY,srv
1-055.02,SANTA ROSA VALLEY - HEALDSBURG AREA,healdsburg
1-055.03,SANTA ROSA VALLEY - RINCON VALLEY,rincon
1-055.01,SANTA ROSA VALLEY - SANTA ROSA PLAIN,srp
3-015,SANTA YNEZ RIVER VALLEY,santaynez
1-005,SCOTT RIVER VALLEY,scottsriver
5-014,SCOTTS VALLEY,scotts
6-052,SEARLES VALLEY,searles
6-100,SECRET VALLEY,secret
1-016,SEIAD VALLEY,seiad
8-008,SEVEN OAKS VALLEY,seven
1-004,SHASTA VALLEY,shasta
1-042,SHERWOOD VALLEY,sherwood
5-012.02,SIERRA VALLEY - CHILCOOT,chilcoot
5-012.01,SIERRA VALLEY - SIERRA VALLEY,sierra
6-034,SILVER LAKE VALLEY,silver
4-009,SIMI VALLEY,simi
6-105,SLINKARD VALLEY,slinkard
1-001,SMITH RIVER PLAIN,smith
6-033,SODA LAKE VALLEY,soda
2-037,SOUTH SAN FRANCISCO,south
6-082,SPRING CANYON VALLEY,springcanyon
5-089,SQUAW FLAT,squaw
5-088,STONY GORGE RESERVOIR,stony
5-063,STONYFORD TOWN AREA,stonyford
2-003,SUISUN-FAIRFIELD VALLEY,suisun
2-011,SUNOL VALLEY,sunol
6-049,SUPERIOR VALLEY,superior
6-001,SURPRISE VALLEY,surprise
6-107,SWEETWATER FLAT,sweetwater
6-005.03,TAHOE VALLEY - TAHOE NORTH,ntahoe
6-005.01,TAHOE VALLEY - TAHOE SOUTH,stahoe
6-005.02,TAHOE VALLEY - TAHOE WEST,wtahoe
6-045,TEHACHAPI VALLEY EAST,etehachapi
5-028,TEHACHAPI VALLEY WEST,wtehachapi
9-005,TEMECULA VALLEY,temecula
1-040,TEN MILE RIVER VALLEY,tenmile
7-026,TERWILLIGER VALLEY,terwilliger
4-019,THOUSAND OAKS AREA,thousandoaks
4-015,TIERRA REJADA,tierra
5-037,TOAD WELL AREA,toad
3-040,TORO VALLEY,toro
6-098,TULEDAD CANYON VALLEY,tuledad
7-010,TWENTYNINE PALMS VALLEY,twentynine
1-052,UKIAH VALLEY,ukiah
6-022,UPPER KINGSTON VALLEY,kingston
5-013,UPPER LAKE VALLEY,upperlake
6-042,UPPER MOJAVE RIVER VALLEY,mojave
4-001,UPPER OJAI VALLEY,uojai
3-023,UPPER SANTA ANA VALLEY,santaana
8-002.05,UPPER SANTA ANA VALLEY - CAJON,cajon
8-002.01,UPPER SANTA ANA VALLEY - CHINO,chino
8-002.02,UPPER SANTA ANA VALLEY - CUCAMONGA,cucamonga
8-002.04,UPPER SANTA ANA VALLEY - RIALTO-COLTON,rialto
8-002.03,UPPER SANTA ANA VALLEY - RIVERSIDE-ARLINGTON,riverside
8-002.06,UPPER SANTA ANA VALLEY - SAN BERNARDINO,sanbernadino
8-002.08,UPPER SANTA ANA VALLEY - SAN TIMOTEO,santimoteo
8-002.09,UPPER SANTA ANA VALLEY - TEMESCAL,temescal
8-002.07,UPPER SANTA ANA VALLEY - YUCAIPA,yucaipa
7-028,VALLECITO-CARRIZO VALLEY,carrizo
5-071,VALLECITOS CREEK VALLEY,vallecitos
7-063,VANDEVENTER FLAT,vandeventer
4-003.02,VENTURA RIVER VALLEY - LOWER VENTURA RIVER,lventura
4-003.01,VENTURA RIVER VALLEY - UPPER VENTURA RIVER,uventura
7-042,VIDAL VALLEY,vidal
3-037,VILLA VALLEY,villa
2-032,VISITACION VALLEY,visitacion
5-026,WALKER BASIN CREEK VALLEY,walker
7-003,WARD VALLEY,ward
9-008,WARNER VALLEY,warner
7-012,WARREN VALLEY,warren
1-031,WEOTT TOWN AREA,weott
7-022,WEST SALTON SEA,salton
3-026,WEST SANTA CRUZ TERRACE,wsct
2-035,WESTSIDE,westside
6-073,WILD HORSE MESA AREA,wildhorse
6-075,WILDROSE CANYON,wildrose
1-043,WILLIAMS VALLEY,williams
6-003,WILLOW CREEK VALLEY,willow
1-059,WILSON GROVE FORMATION HIGHLANDS,wilsongrove
1-062,WILSON POINT AREA,wilsonpoint
6-019,WINGATE VALLEY,wingate
7-056,YAQUI WELL AREA,yaqui
5-056,YELLOW CREEK VALLEY,yellow
2-006,YGNACIO VALLEY,ygnacio
5-069,YOSEMITE VALLEY,yosemite
7-036,YUMA VALLEY,yuma
